trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",30,0,-1.3671294169590267,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,0,3.8239930548715964,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",20,0,15.479412577129995,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",30,0,40.94628454019987,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",25,0,5.651883386242199,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,1,7.142431599925612,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",20,0,25.728190226123147,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",25,0,-51.85535962081021,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",20,0,7.017359108161739,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",20,0,-18.735872196848547,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",30,0,6.523033734321447,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",20,0,23.781780124358633,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",25,0,15.226004500735563,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",20,0,22.49538817944816,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",25,7,26.727993503733575,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.07999999999999918}",25,0,-23.429125951503817,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
185,False,"{'a': 0.5, 'e': 0.07499999999999918}",20,0,21.913292656200515,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
186,False,"{'a': 0.5, 'e': 0.06999999999999917}",20,0,19.248330990621785,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
187,False,"{'a': 0.5, 'e': 0.06499999999999917}",25,0,20.54021308260361,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
188,False,"{'a': 0.5, 'e': 0.05999999999999917}",25,7,27.77669424982237,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.054999999999999175}",30,0,22.125059627480113,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
190,False,"{'a': 0.5, 'e': 0.04999999999999918}",20,7,26.224698755830964,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,14.618624357332184,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,33.18591411682128,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,38.11679799575711,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,34.59346988227085,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,24.251074448806442,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,22.15942979912888,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,21.722879577406765,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,31.515559736029633,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,2,22.74371252452391,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",35,0,38.1775447505777,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
